technology,year,parameter,value,unit,source,further description,file_path
Ammonia cracker,2045,FOM,4.3,%/year,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 7.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
Ammonia cracker,2045,investment,661221.1,EUR/MW_H2,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 6.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
Ammonia cracker,2045,lifetime,25.0,years,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 7.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,C in fuel,0.37,per unit,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,C stored,0.63,per unit,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,CO2 stored,0.23,tCO2/MWh_th,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,FOM,1.61,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,VOM,1.62,EUR/MWh_th,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Variable O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,capture rate,0.9,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,efficiency,0.68,per unit,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Bio SNG",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,investment,1525.0,EUR/kW_th,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Specific investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,lifetime,25.0,years,TODO,"84 Gasif. CFB, Bio-SNG:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BtL,2045,C in fuel,0.3,per unit,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BtL,2045,C stored,0.7,per unit,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BtL,2045,CO2 stored,0.26,tCO2/MWh_th,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BtL,2045,FOM,2.92,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BtL,2045,VOM,1.06,EUR/MWh_FT,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Variable O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BtL,2045,capture rate,0.9,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BtL,2045,efficiency,0.43,per unit,doi:10.1016/j.enpol.2017.05.013,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BtL,2045,investment,2250.0,EUR/kW_th,doi:10.1016/j.enpol.2017.05.013,"85 Gasif. Ent. Flow FT, liq fu :  Specific investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BtL,2045,lifetime,25.0,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CCGT,2045,FOM,3.28,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CCGT,2045,VOM,4.05,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Variable O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CCGT,2045,c_b,2.15,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Cb coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CCGT,2045,c_v,0.15,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Cv coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CCGT,2045,efficiency,0.6,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Electricity efficiency, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CCGT,2045,investment,807.5,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Nominal investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CCGT,2045,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 (g) fill compressor station,2045,FOM,1.7,%/year,Assume same as for H2 (g) fill compressor station.,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 (g) fill compressor station,2045,investment,1498.95,EUR/MW_CH4,"Guesstimate, based on H2 (g) pipeline and fill compressor station cost.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 (g) fill compressor station,2045,lifetime,20.0,years,Assume same as for H2 (g) fill compressor station.,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 (g) pipeline,2045,FOM,1.5,%/year,Assume same as for H2 (g) pipeline in 2050 (CH4 pipeline as mature technology).,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 (g) pipeline,2045,investment,79.0,EUR/MW/km,Guesstimate.,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 (g) pipeline,2045,lifetime,50.0,years,Assume same as for H2 (g) pipeline in 2050 (CH4 pipeline as mature technology).,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 (g) submarine pipeline,2045,FOM,3.0,%/year,"d__more-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 (g) submarine pipeline,2045,investment,114.89,EUR/MW/km,Kaiser (2017): 10.1016/j.marpol.2017.05.003 .,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 (g) submarine pipeline,2045,lifetime,30.0,years,"d__more-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 (l) transport ship,2045,FOM,3.5,%/year,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 (l) transport ship,2045,capacity,58300.0,t_CH4,"Calculated, based on Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 (l) transport ship,2045,investment,151000000.0,EUR,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 (l) transport ship,2045,lifetime,25.0,years,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 evaporation,2045,FOM,3.5,%/year,"Lochner and Bothe (2009): https://doi.org/10.1016/j.enpol.2008.12.012 and Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 evaporation,2045,investment,87.6,EUR/kW_CH4,"Calculated, based on Lochner and Bothe (2009): https://doi.org/10.1016/j.enpol.2008.12.012 and Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 evaporation,2045,lifetime,30.0,years,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 liquefaction,2045,FOM,3.5,%/year,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 liquefaction,2045,investment,232.13,EUR/kW_CH4,"Calculated, based on Lochner and Bothe (2009): https://doi.org/10.1016/j.enpol.2008.12.012 and Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CH4 liquefaction,2045,lifetime,25.0,years,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CO2 liquefaction,2045,FOM,5.0,%/year,Mitsubish Heavy Industries Ltd. and IEA (2004): https://ieaghg.org/docs/General_Docs/Reports/PH4-30%20Ship%20Transport.pdf .,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CO2 liquefaction,2045,investment,16.03,EUR/t_CO2/h,Mitsubish Heavy Industries Ltd. and IEA (2004): https://ieaghg.org/docs/General_Docs/Reports/PH4-30%20Ship%20Transport.pdf .,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CO2 liquefaction,2045,lifetime,25.0,years,"Guesstimate, based on CH4 liquefaction.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CO2 pipeline,2045,FOM,0.9,%/year,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CO2 pipeline,2045,investment,2000.0,EUR/(tCO2/h)/km,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CO2 pipeline,2045,lifetime,50.0,years,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CO2 storage tank,2045,FOM,1.0,%/year,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, pg. 2746 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CO2 storage tank,2045,investment,2528.17,EUR/t_CO2,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, Table 3.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CO2 storage tank,2045,lifetime,25.0,years,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, pg. 2746 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CO2 submarine pipeline,2045,FOM,0.5,%/year,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
CO2 submarine pipeline,2045,investment,4000.0,EUR/(tCO2/h)/km,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
FT fuel transport ship,2045,FOM,5.0,%/year,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
FT fuel transport ship,2045,capacity,75000.0,t_FTfuel,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
FT fuel transport ship,2045,investment,31700578.34,EUR,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
FT fuel transport ship,2045,lifetime,15.0,years,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
Fischer-Tropsch,2045,FOM,3.0,%/year,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), section 6.3.2.1.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
Fischer-Tropsch,2045,VOM,2.65,EUR/MWh_FT,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",102 Hydrogen to Jet:  Variable O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
Fischer-Tropsch,2045,capture rate,0.9,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
Fischer-Tropsch,2045,efficiency,0.8,per unit,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), section 6.3.2.2.","102 Hydrogen to Jet:  FT Liquids Output, MWh/MWh Total Input",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
Fischer-Tropsch,2045,investment,523116.11,EUR/MW_FT,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 8: __eference scenario_.",102 Hydrogen to Jet:  Specific investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
Fischer-Tropsch,2045,lifetime,20.0,years,"Danish Energy Agency, Technology Data for Renewable Fuels (04/2022), Data sheet __ethanol to Power_.",102 Hydrogen to Jet:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
Gasnetz,2045,FOM,2.5,%,"WEGE ZU EINEM KLIMANEUTRALEN ENERGIESYSEM, Anhang zur Studie, Fraunhofer-Institut für Solare Energiesysteme ISE, Freiburg",Gasnetz,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
Gasnetz,2045,investment,28.0,EUR/kWGas,"WEGE ZU EINEM KLIMANEUTRALEN ENERGIESYSEM, Anhang zur Studie, Fraunhofer-Institut für Solare Energiesysteme ISE, Freiburg",Gasnetz,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
Gasnetz,2045,lifetime,30.0,years,"WEGE ZU EINEM KLIMANEUTRALEN ENERGIESYSEM, Anhang zur Studie, Fraunhofer-Institut für Solare Energiesysteme ISE, Freiburg",Gasnetz,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
General liquid hydrocarbon storage (crude),2045,FOM,6.25,%/year,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , figure 7 and pg. 12 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
General liquid hydrocarbon storage (crude),2045,investment,135.83,EUR/m^3,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 8F .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
General liquid hydrocarbon storage (crude),2045,lifetime,30.0,years,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 11.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
General liquid hydrocarbon storage (product),2045,FOM,6.25,%/year,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , figure 7 and pg. 12 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
General liquid hydrocarbon storage (product),2045,investment,169.79,EUR/m^3,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 8F .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
General liquid hydrocarbon storage (product),2045,lifetime,30.0,years,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 11.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (g) fill compressor station,2045,FOM,1.7,%/year,"Guidehouse 2020: European Hydrogen Backbone report, https://guidehouse.com/-/media/www/site/downloads/energy/2020/gh_european-hydrogen-backbone_report.pdf (table 3, table 5)",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (g) fill compressor station,2045,investment,4478.0,EUR/MW_H2,"Danish Energy Agency, Technology Data for Energy Transport (2021), pg. 164, Figure 14 (Fill compressor).",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (g) fill compressor station,2045,lifetime,20.0,years,"Danish Energy Agency, Technology Data for Energy Transport (2021), pg. 168, Figure 24 (Fill compressor).",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (g) pipeline,2045,FOM,1.92,%/year,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (g) pipeline,2045,investment,226.47,EUR/MW/km,European Hydrogen Backbone Report (June 2021): https://gasforclimate2050.eu/wp-content/uploads/2021/06/EHB_Analysing-the-future-demand-supply-and-transport-of-hydrogen_June-2021.pdf.,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (g) pipeline,2045,lifetime,50.0,years,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (g) pipeline repurposed,2045,FOM,1.92,%/year,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (g) pipeline repurposed,2045,investment,105.88,EUR/MW/km,European Hydrogen Backbone Report (June 2021): https://gasforclimate2050.eu/wp-content/uploads/2021/06/EHB_Analysing-the-future-demand-supply-and-transport-of-hydrogen_June-2021.pdf.,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (g) pipeline repurposed,2045,lifetime,50.0,years,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (g) submarine pipeline,2045,FOM,3.0,%/year,Assume same as for CH4 (g) submarine pipeline.,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (g) submarine pipeline,2045,investment,329.37,EUR/MW/km,"Assume similar cost as for CH4 (g) submarine pipeline but with the same factor as between onland CH4 (g) pipeline and H2 (g) pipeline (2.86). This estimate is comparable to a 36in diameter pipeline calaculated based on d__more-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material (=251 EUR/MW/km).",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (g) submarine pipeline,2045,lifetime,30.0,years,Assume same as for CH4 (g) submarine pipeline.,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (l) storage tank,2045,FOM,2.0,%/year,"Reu_ et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 6.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (l) storage tank,2045,investment,750.08,EUR/MWh_H2,"Reu_ et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 6.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (l) storage tank,2045,lifetime,20.0,years,"Reu_ et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 6.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (l) transport ship,2045,FOM,4.0,%/year,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (l) transport ship,2045,capacity,11000.0,t_H2,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (l) transport ship,2045,investment,361223561.6,EUR,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 (l) transport ship,2045,lifetime,20.0,years,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 evaporation,2045,FOM,2.5,%/year,"DNV GL (2020): Study on the Import of Liquid Renewable Energy: Technology Cost Assessment, https://www.gie.eu/wp-content/uploads/filr/2598/DNV-GL_Study-GLE-Technologies-and-costs-analysis-on-imports-of-liquid-renewable-energy.pdf .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 evaporation,2045,investment,78.35,EUR/kW_H2,"IRENA (2022): Global Hydrogen Trade to Meet the 1.5° Climate Goal: Technology Review of Hydrogen Carriers, https://www.irena.org/publications/2022/Apr/Global-hydrogen-trade-Part-II , pg. 62f.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 evaporation,2045,lifetime,20.0,years,Guesstimate.,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 liquefaction,2045,FOM,2.5,%/year,"DNV GL (2020): Study on the Import of Liquid Renewable Energy: Technology Cost Assessment, https://www.gie.eu/wp-content/uploads/filr/2598/DNV-GL_Study-GLE-Technologies-and-costs-analysis-on-imports-of-liquid-renewable-energy.pdf .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 liquefaction,2045,investment,609.39,EUR/kW_H2,"IRENA (2022): Global Hydrogen Trade to Meet the 1.5° Climate Goal: Technology Review of Hydrogen Carriers, https://www.irena.org/publications/2022/Apr/Global-hydrogen-trade-Part-II , pg. 62f.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 liquefaction,2045,lifetime,20.0,years,"Reu_ et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 pipeline,2045,FOM,3.0,%/year,TODO, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 pipeline,2045,investment,267.0,EUR/MW/km,Welder et al https://doi.org/10.1016/j.energy.2018.05.059, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
H2 pipeline,2045,lifetime,40.0,years,TODO, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
HVAC overhead,2045,FOM,2.0,%/year,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
HVAC overhead,2045,investment,432.97,EUR/MW/km,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
HVAC overhead,2045,lifetime,40.0,years,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
HVDC inverter pair,2045,FOM,2.0,%/year,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
HVDC inverter pair,2045,investment,162364.82,EUR/MW,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
HVDC inverter pair,2045,lifetime,40.0,years,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
HVDC overhead,2045,FOM,2.0,%/year,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
HVDC overhead,2045,investment,432.97,EUR/MW/km,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
HVDC overhead,2045,lifetime,40.0,years,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
